Accumulated Samples,Performance,Estimated Performance,Average Distance,Lower Bound,Upper Bound,Episode,Estimated Optimistic Performance,Optimistic Performance
0,0.47786622,0.0,0.48935426,1.0E-8,0.5071264929787033,0.0,0.99999999,0.4806351
7,0.47786622,0.0,0.48930615,1.0E-8,0.5071264929787033,2.0,0.99999999,0.4806351
19,0.47786622,0.0,0.48920025,1.0E-8,0.5071264929787033,5.0,0.99999999,0.4806351
32,0.47786622,0.0,0.48904611,1.0E-8,0.5071264929787033,9.0,0.99999999,0.4806351
47,0.47786622,0.0,0.48889311,1.0E-8,0.5071264929787033,13.0,0.99999999,0.4806351
57,0.47786622,0.0,0.48882673,1.0E-8,0.5071264929787033,15.0,0.99999999,0.4806351
92,0.47786622,0.0,0.4884836,1.0E-8,0.5071264929787033,25.0,0.99999999,0.48014383
135,0.47786622,0.0,0.48813594,1.0E-8,0.5071264929787033,37.0,0.99999999,0.48014383
160,0.47786622,0.0,0.4880114,1.0E-8,0.5071264929787033,44.0,0.99999999,0.48004283
205,0.48583398,0.0,0.48773668,1.0E-8,0.5071264929787033,55.0,0.99999999,0.47876538
246,0.48583398,0.0,0.48736657,1.0E-8,0.5071264929787033,66.0,0.99999999,0.4806351
278,0.48583398,0.0,0.48719774,1.0E-8,0.5071264929787033,75.0,0.99999999,0.30380791
348,0.48583398,0.0,0.4866993,1.0E-8,0.5071264929787033,93.0,0.99999999,0.30616081
355,0.48583398,0.0,0.486639,1.0E-8,0.49563781092721204,95.0,0.99999999,0.30616081
370,0.48583398,0.0,0.48651132,1.0E-8,0.47461570752957905,99.0,0.99999999,0.30616081
399,0.48583398,0.0,0.48634991,1.0E-8,0.46833187148605593,107.0,0.99999999,0.47876538
425,0.48583398,0.0,0.48612226,1.0E-8,0.4396878305242639,114.0,0.99999999,0.47876538
435,0.48583398,0.0,0.48607906,1.0E-8,0.4396878305242639,117.0,0.99999999,0.47876538
516,0.48583398,3.212E-5,0.48562814,1.0E-8,0.4396878305242639,139.0,0.99999999,0.4806351
679,0.48583398,5.0145E-4,0.48483633,1.0E-8,0.4396878305242639,184.0,0.99999999,0.47876538
907,0.48583398,8.8814E-4,0.48372875,1.0E-8,0.4396878305242639,245.0,0.99999999,0.30676792
1017,0.48480329,0.00113395,0.48316289,1.0E-8,0.4396878305242639,273.0,0.99999999,0.30676792
1028,0.48480329,0.00113395,0.48303009,1.0E-8,0.4287667117973905,276.0,0.99999999,0.30676792
1070,0.48480329,0.00113395,0.48276261,1.0E-8,0.4024904590661733,288.0,0.99999998,0.27309606
1113,0.48480329,0.00113395,0.48249784,1.0E-8,0.3691018899509426,301.0,0.99999998,0.4496143
1140,0.48480329,0.00113395,0.48235398,1.0E-8,0.3699344717610574,309.0,0.99999998,0.27309606
1172,0.48480329,0.00128311,0.48214196,1.0E-8,0.3699344717610574,317.0,0.99999998,0.27309606
1190,0.48480329,0.00128311,0.48200481,1.0E-8,0.361483719045544,321.0,0.99999998,0.27309606
1324,0.48480329,0.0013016,0.48110309,1.0E-8,0.3253713299783859,360.0,0.99999998,0.31164567
1582,0.48480329,0.00144836,0.47962398,1.0E-8,0.2934056084110762,436.0,0.99999998,0.38184281
1588,0.48480329,0.00144836,0.47953812,1.0E-8,0.2934056084110762,438.0,0.99999998,0.38184281
1606,0.48480329,0.00161679,0.47940855,1.0E-8,0.2934056084110762,442.0,0.99999998,0.38184281
1650,0.48480329,0.00192038,0.47908326,1.0E-8,0.2934056084110762,454.0,0.99854604,0.38184281
1779,0.48480329,0.00212023,0.47854894,1.0E-8,0.2934056084110762,490.0,0.99557179,0.48453784
2175,0.39096003,0.00492794,0.47709071,1.0E-8,0.2934056084110762,598.0,0.9924306,0.48453784
2474,0.39096003,0.00585479,0.47598843,1.0E-8,0.2934056084110762,679.0,0.99075386,0.36035115
2931,0.49399091,0.00953928,0.47454397,1.0E-8,0.2934056084110762,800.0,0.99002036,0.35948907
2971,0.49399091,0.00978354,0.47442478,1.0E-8,0.2934056084110762,811.0,0.98901371,0.35948907
2987,0.49399091,0.00980642,0.47436782,1.0E-8,0.2934056084110762,815.0,0.98912271,0.35948907
3081,0.49399091,0.00978998,0.47398603,1.0E-8,0.2934056084110762,843.0,0.98373989,0.3611382
3355,0.49399091,0.0108385,0.47296343,1.0E-8,0.2934056084110762,919.0,0.9813917,0.4322481
3380,0.49399091,0.01106717,0.47286303,1.0E-8,0.2934056084110762,926.0,0.97908162,0.4708937
3427,0.49399091,0.01115709,0.4726607,1.0E-8,0.2934056084110762,939.0,0.97854356,0.4708937
3515,0.49399091,0.01179983,0.47243905,1.0E-8,0.2934056084110762,965.0,0.97612514,0.46919902
3715,0.48909119,0.01276155,0.47195066,1.0E-8,0.2934056084110762,1020.0,0.97445769,0.46930002
4056,0.48909119,0.01556387,0.47104108,1.0E-8,0.2934056084110762,1113.0,0.97062311,0.45131313
5423,0.48878467,0.02714208,0.46864027,1.0E-8,0.2934056084110762,1489.0,0.96874288,0.27486506
7187,0.48909119,0.04209428,0.46546246,1.0E-8,0.2934056084110762,1972.0,0.96168134,0.31034371
7203,0.48909119,0.04213882,0.46537798,1.0E-8,0.28988803281413794,1976.0,0.96131999,0.31034371
7246,0.48909119,0.04222137,0.46525976,1.0E-8,0.28320765149544674,1989.0,0.95805737,0.31034371
7271,0.48909119,0.0424423,0.46514505,1.0E-8,0.2777248386428978,1996.0,0.95551389,0.31034371
7312,0.48909119,0.04250232,0.46499954,1.0E-8,0.2757148973330047,2009.0,0.94602311,0.31034371
7460,0.48909119,0.04331708,0.46466809,1.0E-8,0.258621212475397,2051.0,0.93523611,0.43740872
7728,0.48909119,0.04511226,0.46380484,1.0E-8,0.23074170050506604,2124.0,0.93608941,0.43740872
7761,0.48909119,0.04510858,0.46376645,1.0E-8,0.23074170050506604,2133.0,0.93316531,0.43740872
7933,0.48909119,0.04696997,0.46342292,1.0E-8,0.23074170050506604,2180.0,0.93196253,0.49247486
8292,0.48909119,0.04923107,0.46287847,1.0E-8,0.23074170050506604,2283.0,0.92890996,0.43854791
8432,0.48909119,0.05125884,0.4626887,1.0E-8,0.23074170050506604,2319.0,0.92863475,0.44376173
8448,0.48909119,0.05132065,0.4626532,1.0E-8,0.23074170050506604,2323.0,0.92740602,0.48393865
8471,0.48909119,0.05133263,0.4625732,1.0E-8,0.23074170050506604,2330.0,0.92698607,0.48393865
8561,0.48909119,0.05166984,0.4624268,1.0E-8,0.23074170050506604,2354.0,0.92662052,0.47513743
8695,0.48909119,0.05224854,0.46219405,1.0E-8,0.23074170050506604,2392.0,0.92381902,0.47513743
8944,0.48909119,0.05458958,0.46181533,1.0E-8,0.23074170050506604,2458.0,0.92273073,0.47513743
9910,0.48909119,0.06247781,0.46075972,1.0E-8,0.23074170050506604,2722.0,0.91695939,0.29648205
10762,0.48909119,0.07068,0.45998257,1.0E-8,0.23074170050506604,2953.0,0.91396629,0.2979258
10779,0.48909119,0.07074422,0.45992694,1.0E-8,0.22863589722757943,2958.0,0.90963842,0.48318703
10935,0.48909119,0.07136877,0.45951672,1.0E-8,0.21097657913913787,3005.0,0.90882234,0.47184169
11339,0.48909119,0.07380724,0.45913121,1.0E-8,0.21097657913913787,3116.0,0.90319207,0.47184169
11867,0.48909119,0.07842722,0.45865082,1.0E-8,0.21097657913913787,3264.0,0.89801269,0.43417724
12054,0.48909119,0.08033501,0.45854281,1.0E-8,0.21097657913913787,3315.0,0.89735323,0.43417724
12141,0.48909119,0.08017687,0.45839453,1.0E-8,0.21097657913913787,3341.0,0.89507467,0.43980315
12267,0.48909119,0.0807928,0.45824685,1.0E-8,0.21097657913913787,3377.0,0.89406261,0.43980315
12730,0.48909119,0.08236674,0.45771006,1.0E-8,0.21097657913913787,3504.0,0.88805291,0.3753058
14029,0.49501387,0.09288159,0.45653923,1.0E-8,0.21097657913913787,3862.0,0.88465379,0.2323553
14041,0.49501387,0.09305705,0.45650477,1.0E-8,0.21097657913913787,3865.0,0.88465379,0.2323553
14142,0.49501387,0.09304375,0.45627394,1.0E-8,0.2035410774463485,3895.0,0.87864871,0.41704505
14236,0.49501387,0.09296258,0.45605443,1.0E-8,0.1997605549399088,3922.0,0.8783945,0.4128201
14324,0.49501387,0.09352843,0.45595626,1.0E-8,0.1997605549399088,3946.0,0.877586,0.46134157
14676,0.49501387,0.09654204,0.45533201,1.0E-8,0.1997605549399088,4042.0,0.87574475,0.41446714
15450,0.49501387,0.10343762,0.45453369,1.0E-8,0.1997605549399088,4250.0,0.87252554,0.39984462
15610,0.49501387,0.10514647,0.45431552,1.0E-8,0.1997605549399088,4292.0,0.87072673,0.46324007
15695,0.49501387,0.10592574,0.45414857,1.0E-8,0.1997605549399088,4314.0,0.8702015,0.46486151
16760,0.49501387,0.11151038,0.45312539,1.0E-8,0.1997605549399088,4601.0,0.8647439,0.25351237
21878,0.49487215,0.13929524,0.4504742,1.0E-8,0.1997605549399088,5970.0,0.86157505,0.20991425
21973,0.49487215,0.13953293,0.45022356,1.0E-8,0.19987484834723546,5998.0,0.85449835,0.20991425
21993,0.49487215,0.13955669,0.45012807,1.0E-8,0.1985216997585374,6003.0,0.85326511,0.21817672
22047,0.49487215,0.13959056,0.45000423,1.0E-8,0.19804651862574157,6019.0,0.84886748,0.23671231
22214,0.49487215,0.13998107,0.44955684,1.0E-8,0.19979508377664967,6068.0,0.84594247,0.23235259
22308,0.49487215,0.14002521,0.44935402,1.0E-8,0.19942324317333782,6097.0,0.84414859,0.29380682
22354,0.49487215,0.13992886,0.449191,1.0E-8,0.1993440795750699,6111.0,0.84369857,0.29380682
22537,0.49487215,0.1400221,0.44868196,1.0E-8,0.1993440795750699,6167.0,0.83962652,0.35872688
22608,0.49487215,0.14010064,0.44858281,1.0E-8,0.1993440795750699,6187.0,0.84059899,0.36024004
22631,0.49501387,0.14022718,0.44855418,1.0E-8,0.1993440795750699,6194.0,0.84035776,0.35872688
22816,0.49501387,0.14084279,0.44833407,1.0E-8,0.1993440795750699,6245.0,0.83752493,0.38890241
23219,0.49501387,0.1434043,0.44793005,1.0E-8,0.1993440795750699,6352.0,0.83847968,0.39809767
23438,0.49501387,0.14426747,0.44767916,1.0E-8,0.1993440795750699,6411.0,0.83671835,0.39809767
25183,0.49501387,0.14944632,0.44651177,1.0E-8,0.1993440795750699,6886.0,0.82761712,0.26802887
28419,0.49448856,0.15937567,0.44514587,1.0E-8,0.1993440795750699,7753.0,0.81974658,0.23805894
28499,0.49448856,0.15952508,0.44503511,1.0E-8,0.19548512338947238,7777.0,0.8162166,0.21791367
28651,0.49448856,0.15968601,0.44477105,1.0E-8,0.19027977843853922,7823.0,0.81036852,0.40869532
29179,0.49448856,0.1601915,0.44381422,0.005674411092038131,0.18480177938415232,7982.0,0.80854959,0.43916823
29720,0.49448856,0.16210654,0.4431481,0.005674411092038131,0.18480177938415232,8136.0,0.8062376,0.4570595
30409,0.49448856,0.16493609,0.44247972,0.005674411092038131,0.18480177938415232,8327.0,0.80299825,0.47536472
33311,0.49255428,0.17842477,0.44112338,0.005674411092038131,0.18480177938415232,9120.0,0.79473392,0.493139
41305,0.49451936,0.20770178,0.43906918,0.005674411092038131,0.18480177938415232,11266.0,0.77559388,0.45933615
55032,0.49424137,0.24846818,0.43705089,0.005674411092038131,0.18480177938415232,14942.0,0.76496762,0.21499534
55178,0.49424137,0.24874046,0.43696545,0.005674411092038131,0.18480177938415232,14980.0,0.76504751,0.21499534
55299,0.49424137,0.24869135,0.43671038,0.007057233503919735,0.1826749093532231,15015.0,0.75971693,0.21001554
55467,0.49424137,0.2487243,0.43639352,0.009777225730582442,0.18090074037111248,15063.0,0.75416125,0.37519825
55859,0.49424137,0.24887644,0.43576887,0.008943799203249989,0.17064032177973676,15177.0,0.75302359,0.37519825
56089,0.49424137,0.24938798,0.43551707,0.008943799203249989,0.17064032177973676,15239.0,0.75151987,0.3600893
56484,0.49424137,0.24968287,0.43531502,0.008943799203249989,0.17064032177973676,15349.0,0.74956289,0.37595557
56742,0.49424137,0.24988006,0.43519791,0.008943799203249989,0.17064032177973676,15421.0,0.74777865,0.39788041
57504,0.49424137,0.25104966,0.43474286,0.008943799203249989,0.17064032177973676,15631.0,0.74557639,0.41494339
59863,0.49424137,0.25436737,0.43378423,0.008943799203249989,0.17064032177973676,16257.0,0.73906302,0.41094473
60287,0.49424137,0.25477143,0.43363781,0.008943799203249989,0.17064032177973676,16370.0,0.73761118,0.41094473
60377,0.49424137,0.25480163,0.43356636,0.008943799203249989,0.17064032177973676,16396.0,0.73733046,0.41094473
60452,0.49424137,0.25493257,0.43351254,0.008943799203249989,0.17064032177973676,16415.0,0.73748963,0.41094473
60902,0.49424137,0.25569272,0.43321755,0.008943799203249989,0.17064032177973676,16533.0,0.73547069,0.46903796
61944,0.49419495,0.25681681,0.43262943,0.008943799203249989,0.17064032177973676,16810.0,0.73228991,0.46375642
66259,0.49419495,0.26327958,0.43146002,0.008943799203249989,0.17064032177973676,17984.0,0.72474809,0.46024053
66421,0.49419495,0.2633528,0.43139381,0.008943799203249989,0.17064032177973676,18027.0,0.72378577,0.46126733
66629,0.49419495,0.2636178,0.43130528,0.008943799203249989,0.17064032177973676,18087.0,0.72301773,0.46807308
66854,0.49419495,0.26418175,0.43121657,0.008943799203249989,0.17064032177973676,18147.0,0.72276676,0.47045453
67098,0.49419495,0.26466166,0.4311014,0.008943799203249989,0.17064032177973676,18212.0,0.72243312,0.47433135
77410,0.49424122,0.28102027,0.42914838,0.008943799203249989,0.17064032177973676,20994.0,0.71010444,0.48042818
102836,0.49424122,0.30866496,0.42710407,0.008943799203249989,0.17064032177973676,27886.0,0.69534108,0.4133647
103461,0.49424122,0.30904092,0.42701038,0.008943799203249989,0.17064032177973676,28056.0,0.69459703,0.40963023
103571,0.49424122,0.30896693,0.42692117,0.008943799203249989,0.17064032177973676,28086.0,0.6946222,0.41449266
103641,0.49424122,0.30891631,0.42687132,0.008943799203249989,0.17064032177973676,28106.0,0.69376794,0.41449266
104655,0.49424122,0.30951973,0.42656071,0.008943799203249989,0.17064032177973676,28386.0,0.68696167,0.41805533
107652,0.49424122,0.31135782,0.42582683,0.008943799203249989,0.17064032177973676,29205.0,0.68362006,0.46373543
108893,0.49424122,0.31157433,0.42547083,0.008943799203249989,0.17064032177973676,29551.0,0.68189888,0.3074929
109112,0.49424122,0.31177937,0.42540353,0.008943799203249989,0.17064032177973676,29608.0,0.68135251,0.3074929
109593,0.49424122,0.31186148,0.42514851,0.01252057196718509,0.1645888683001499,29747.0,0.68023106,0.4797685
113390,0.49424122,0.31421445,0.42390396,0.03718751000670904,0.14733369681445407,30837.0,0.67705804,0.45651858
126130,0.49424122,0.32206394,0.4227771,0.03718751000670904,0.14733369681445407,34295.0,0.66632888,0.45942972
126272,0.49424122,0.32214479,0.4227539,0.03718751000670904,0.14733369681445407,34333.0,0.66620494,0.46959804
126845,0.49424122,0.32251237,0.42258482,0.03718751000670904,0.14733369681445407,34485.0,0.66546324,0.45942972
127506,0.49424122,0.32321241,0.42235326,0.03718751000670904,0.14733369681445407,34661.0,0.66512466,0.47308253
128995,0.49424122,0.32444511,0.42203369,0.03718751000670904,0.14733369681445407,35056.0,0.66427312,0.48325084
133536,0.49485667,0.3284881,0.42116243,0.03718751000670904,0.14733369681445407,36273.0,0.66207029,0.46904462
143333,0.49485667,0.33297957,0.41990941,0.03718751000670904,0.14733369681445407,38919.0,0.6555687,0.45191724
143701,0.49485667,0.3332948,0.41987161,0.03718751000670904,0.14733369681445407,39016.0,0.65567636,0.45191724
144389,0.49485667,0.33382448,0.41969301,0.03718751000670904,0.14733369681445407,39201.0,0.65517704,0.45768472
145366,0.49485667,0.33451365,0.41945326,0.03718751000670904,0.14733369681445407,39464.0,0.65488962,0.46400416
149164,0.49485667,0.33561148,0.41879838,0.03718751000670904,0.14733369681445407,40508.0,0.65180325,0.46290068
157587,0.49485667,0.34012292,0.41788938,0.03718751000670904,0.14733369681445407,42786.0,0.64742173,0.48817297
173231,0.49485667,0.34746914,0.41677546,0.03718751000670904,0.14733369681445407,47009.0,0.64378356,0.42724227
233086,0.49499066,0.37041807,0.41527935,0.03718751000670904,0.14733369681445407,63144.0,0.63233952,0.39287579
